なし	
●共通パッシブ	
生命+	最大HPが増加
力+	力が増加
防御+	防御が増加
命中+	命中が増加
回避+	回避が増加
●職業	
○スレイヤー	
吸収	スキルに吸収を追加
一撃	単体スキルのダメージが上昇
炸裂	範囲スキルのダメージが上昇
活力	自身のHP回復率が上昇
解体	倒した敵が素材を落とす確率が上昇
★エクスキューショナー	HP15%以下の敵を即死させる
★デモリッシャー	回復で超過した分、シールドを獲得する
○ガーディアン	
健康	HPが増加
休息	戦闘後、HPが回復
強靭	バフスキルの効果時間が上昇
重打	スキルのスタン時間が上昇
治療	回復スキルの威力が上昇
★フォートレス	毒と出血を無効化
★パラディン	味方全員の防御 +5
○デッドアイ	
連撃	多段スキルのダメージが上昇
先制	戦闘開始時、味方全員の行動値が増加
貫通	敵の防御を一部無視する
追撃	マーク状態の敵へのダメージが上昇
収集	収集素材の獲得量が増加
★スナイパー	命中と防御が20増加、回避が20低下
★レンジャー	探索速度が20%増加
○エレメンタリスト	
集中	敵が３体以下の時、スキルダメージが上昇
拡散	敵が３体以上の時、スキルダメージが上昇
近接	前列にいる時、スキルダメージが上昇
遠隔	後列にいる時、スキルダメージが上昇
解析	魔物が高ランク素材を落としやすくなる
★フレイムマスター	スキルに回避貫通 100% 追加
★ブリザードキング	スキルに防御貫通 100% 追加
○クレリック	
治癒	回復スキルの回復量が上昇
手当	戦闘後、味方全員のHPを回復
抗体	毒/出血ダメージを軽減
強打	単体スキルのダメージが上昇
知識	収集素材の獲得数が増加
★ビショップ	味方全員の毒/出血ダメージを 30% 軽減
★ハイエロファント	回復スキルで最大HPを超過した分の$シールドを付与する
○オカルティスト	戦闘開始時、ダメージx20% 100T付与
呪術	デバフスキルの効果が上昇
呪法	デバフスキルの持続が上昇
猛毒	毒スキルのダメージを上昇
侵食	毒スキルの持続を増加
障壁	シールド獲得量と、シールド上限を増加
★ネクロマンサー	戦闘開始時、HPと同じ量のシールドを得る
★プロフェット	デバフスキルが必中
○グラディエーター	戦闘開始時、ダメージx20% 100T付与
剣戟	前列時、スキルのダメージが上昇
出血	スキルの出血ダメージが上昇
重傷	スキルの出血持続が増加
舞闘	自分がマーク状態の時、スキルダメージ上昇
剣閃	敵の回避を一部無視する
★バトルマスター	先頭にいる時、命中と力が増加
★チャンピオン	常にマークを得る、味方はマーク耐性を得る
○アサシン	戦闘開始時、ダメージx20% 100T付与
急所	状態異常の敵にスキルダメージ上昇
暗殺	暗殺スキルのダメージ上昇
一撃	HPが最大の敵へのスキルダメージ上昇
速攻	戦闘開始時、行動値を上昇
忍足	魔物部屋を探索する確率が減少
★シノビマスター	前列スキルが後列でも威力低下無し
★ソードマスター	HPが半分以上の敵へのダメージが増加
○バーサーカー	戦闘開始時、ダメージx20% 100T付与
吸収	スキルに吸収を追加
奮闘	単体スキルのダメージが上昇
猛攻	範囲スキルのダメージが上昇
激昂	HPが半分以下の時、スキルダメージが上昇
闘争	魔物部屋発見率上昇、獲得経験値上昇
★デストロイヤー	与えるダメージx1.4、受けるダメージx1.4
★ジャガーノート	先頭にいる時、スキルダメージ50%上昇
○トリックスター	戦闘開始時、ダメージx20% 100T付与
速攻	戦闘開始時、行動値を上昇
治癒	回復スキルの回復量が上昇
猛毒	毒スキルのダメージを上昇
侵食	毒スキルの持続を増加
財宝	財宝部屋発見率が上昇
★ヴェノムマスター	毒ダメージ x0.7 、 毒持続 x2.0
★スピードスター	戦闘開始時、行動値が最大
○シャーマン	戦闘開始時、ダメージx20% 100T付与
速攻	戦闘開始時、行動値を上昇
治癒	回復スキルの回復量が上昇
祝福	バフスキルの効果が上昇
祝詞	バフスキルの持続が上昇
採取	収集素材の獲得量が増加
★エンチャントレス	戦闘開始時、全員に与ダメx1.2バフを付与
★オーラー	戦闘開始時、全員に被ダメx0.8バフを付与
○パスファインダー	
猛毒	毒スキルのダメージを上昇
先制	戦闘開始時、味方全員の行動値が増加
採取	収集素材の獲得量が増加
地図	未探索部屋を探索する確率が上昇
記録	経験値獲得量が増加
★トレジャーハンター	アクセサリーが追加で手に入る
★ローグ	一定確率で全ランクの素材を同時に獲得
●種族	戦闘開始時、ダメージx20% 100T付与
○ユニコーン	スキルに物理貫通を付与
鮮血	出血倍率+10%
New	敵が４体以上の時、ダメージ+10%
拡散術	敵が４体以上の時、ダメージ+10%
	
○アルラウネ	状態異常耐性＋
武の舞	マーク状態だと回避＋
命の盾	回復スキルで超過した分シールド付与
New	
	
○ドラゴニュート	バフスキルの持続＋
New	
New	
New	
New	
○フェニックス	
解体+	剥ぎ取り数が確率で+1
New	採取数が確率で+1
採取+	採取数が確率で+1
解体術	剥ぎ取り素材が確率でランク+1
○スライム	採取素材が確率でランク+1
応急手当て	戦闘終了時の全員のHP回復量＋
New	戦闘終了時の自身HP回復量＋
タフガイ	戦闘終了時の自身HP回復量＋
道しるべ	未発見部屋探索率＋
○ビッグシザー	味方全員の獲得経験値＋
New	
あああ	
New	
New	
○ハウンテッド	
New	
New	
New	
New	
○ゴーレム	
New	
New	
New	
New	
○ウンディーネ	
New	
New	
New	
New	
○コボルド	
New	
New	
New	
New	
○ヴァンパイア	
New	
New	
New	
New	
○ゴースト	
New	
New	
New	
New	
●敵専用	
