なし	
●共通パッシブ	
HP	最大HPが増加
力	力が増加
防御	防御が増加
命中	命中が増加
回避	回避が増加
●職業	
○スレイヤー	
吸収	スキルに吸収を追加
一撃	単体スキルのダメージが上昇
炸裂	範囲スキルのダメージが上昇
活力	自身のHP回復率が上昇
解体	倒した敵が素材を落とす確率が上昇
★エクスキューショナー	HP15%以下の敵を即死させる
★デモリッシャー	回復で超過した分、シールドを獲得する
○ガーディアン	
健康	HPが増加
休息	戦闘後、HPが回復
強靭	バフスキルの効果時間が上昇
重打	スキルのスタン時間が上昇
治療	回復スキルの威力が上昇
★フォートレス	毒と出血を無効化
★パラディン	味方全員の防御 +5
○デッドアイ	
連撃	多段スキルのダメージが上昇
先制	戦闘開始時、味方全員の行動値が増加
貫通	敵の防御を一部無視する
追撃	マーク状態の敵へのダメージが上昇
収集	収集素材の獲得量が増加
★スナイパー	命中と防御が20増加、回避が20低下
★レンジャー	探索速度が20%増加
○エレメンタリスト	
集中	敵が３体以下の時、スキルダメージが上昇
拡散	敵が３体以上の時、スキルダメージが上昇
近接	前列にいる時、スキルダメージが上昇
遠隔	後列にいる時、スキルダメージが上昇
解析	魔物が高ランク素材を落としやすくなる
★フレイムマスター	スキルに回避貫通 100% 追加
★ブリザードキング	スキルに防御貫通 100% 追加
○クレリック	
治癒	回復スキルの回復量が上昇
手当	戦闘後、味方全員のHPを回復
抗体	毒/出血ダメージを軽減
強打	単体スキルのダメージが上昇
知識	収集素材のランクが上昇
★ビショップ	味方全員の毒/出血ダメージを 30% 軽減
★ハイエロファント	回復スキルで最大HPを超過した分の$シールドを付与する
○オカルティスト	戦闘開始時、ダメージx20% 100T付与
呪術	デバフスキルの効果が上昇
呪法	デバフスキルの持続が上昇
猛毒	毒スキルのダメージを上昇
侵食	毒スキルの持続を増加
障壁	シールド獲得量と、シールド上限を増加
★ネクロマンサー	戦闘開始時、HPと同じ量のシールドを得る
★プロフェット	デバフスキルが必中
○グラディエーター	戦闘開始時、ダメージx20% 100T付与
剣戟	前列時、スキルのダメージが上昇
出血	スキルの出血ダメージが上昇
重傷	スキルの出血持続が増加
舞闘	自分がマーク状態の時、スキルダメージ上昇
剣閃	敵の回避を一部無視する
★バトルマスター	先頭にいる時、命中と力が増加
★チャンピオン	常にマークを得る、味方はマーク耐性を得る
○アサシン	戦闘開始時、ダメージx20% 100T付与
急所	状態異常の敵にスキルダメージ上昇
暗殺	暗殺スキルのダメージ上昇
一撃	HPが最大の敵へのスキルダメージ上昇
速攻	戦闘開始時、行動値を上昇
忍足	魔物部屋を探索する確率が減少
★シノビマスター	前列スキルが後列でも威力低下無し
★ソードマスター	HPが半分以上の敵へのダメージが増加
○バーサーカー	戦闘開始時、ダメージx20% 100T付与
吸収	スキルに吸収を追加
奮闘	単体スキルのダメージが上昇
猛攻	範囲スキルのダメージが上昇
激昂	HPが半分以下の時、スキルダメージが上昇
闘争	魔物部屋発見率上昇、獲得経験値上昇
★デストロイヤー	与えるダメージx1.4、受けるダメージx1.4
★ジャガーノート	先頭にいる時、スキルダメージ50%上昇
○トリックスター	戦闘開始時、ダメージx20% 100T付与
速攻	戦闘開始時、行動値を上昇
治癒	回復スキルの回復量が上昇
猛毒	毒スキルのダメージを上昇
侵食	毒スキルの持続を増加
財宝	財宝部屋発見率が上昇
★ヴェノムマスター	毒ダメージ x0.7 、 毒持続 x2.0
★スピードスター	戦闘開始時、行動値が最大
○シャーマン	戦闘開始時、ダメージx20% 100T付与
速攻	戦闘開始時、行動値を上昇
治癒	回復スキルの回復量が上昇
祝福	バフスキルの効果が上昇
祝詞	バフスキルの持続が上昇
採取	収集素材の獲得量が増加
★エンチャントレス	戦闘開始時、全員に与ダメx1.2バフを付与
★オーラー	戦闘開始時、全員に被ダメx0.8バフを付与
○パスファインダー	
猛毒	毒スキルのダメージを上昇
先制	戦闘開始時、味方全員の行動値が増加
採取	収集素材の獲得量が増加
地図	未探索部屋を探索する確率が上昇
記録	経験値獲得量が増加
★トレジャーハンター	アクセサリーが追加で手に入る
★ローグ	一定確率で全ランクの素材を同時に獲得
●種族	戦闘開始時、ダメージx20% 100T付与
○ユニコーン	スキルに物理貫通を付与
治癒	回復スキルの回復量が上昇
光輝	味方全員の回復率が上昇
祝詞	バフスキルの持続が上昇
手当	戦闘後、味方全員のHPを回復
○アルラウネ	状態異常耐性＋
地図	未探索部屋を探索する確率が上昇
採取	収集素材の獲得量が増加
猛毒	毒スキルのダメージを上昇
知識	収集素材のランクが上昇
○ドラゴニュート	バフスキルの持続＋
火力	単体スキルのダメージが上昇
殲滅	範囲スキルのダメージが上昇
直観	命中が増加
怪力	力が上昇
○フェニックス	
回生	自身のHP回復率が上昇
休息	戦闘後、HPが回復
治癒	回復スキルの回復量が上昇
生命	最大HPが増加
○スライム	採取素材が確率でランク+1
猛毒	毒スキルのダメージを上昇
侵食	毒スキルの持続を増加
不屈	戦闘中一度だけ復活
毒撃	毒状態の敵へのダメージが上昇
○ビッグシザー	味方全員の獲得経験値＋
抹殺	HPが半分以下の敵へのダメージが上昇
甲殻	防御が増加
貫通	敵の防御を一部無視する
解体	倒した敵が素材を落とす確率が上昇
○ハウンテッド	
鉄壁	防御が上昇
呪術	デバフスキルの効果が上昇
呪法	デバフスキルの持続が上昇
霊体	毒/出血ダメージを軽減
○ゴーレム	
機動	回避が増加
解析	命中が上昇
狙撃	後列時、スキルダメージが上昇
炸裂	範囲スキルのダメージが上昇
○ウンディーネ	
光輝	味方全員の回復率が上昇
祝福	バフスキルの効果が上昇
治癒	回復スキルの回復量が上昇
解析	魔物が高ランク素材を落としやすくなる
○コボルド	
敏捷	命中が増加
出血	スキルの出血ダメージが上昇
残虐	出血状態の敵へのダメージが上昇
財宝	財宝部屋発見率が上昇
○ヴァンパイア	
残虐	出血状態の敵へのダメージが上昇
吸血	スキルに吸収を追加
全開	HPが最大の時、スキルダメージ上昇
重傷	スキルの出血持続が増加
○ゴースト	
速攻	戦闘開始時、行動値を上昇
透明	回避が増加
呪術	デバフスキルの効果が上昇
実体	防御が増加
●敵専用	
