なし	
●職業スキル	スレイヤースキル１
○スレイヤー	低CT、単体、中命中、低威力
斬	先頭の敵にダメージ
スマッシュ	前列の敵、1体にダメージ
薙ぎ払い	前列の敵、3体にダメージ
ブラッドソード	先頭の敵にダメージ、吸収 10%
両断剣	敵全体にダメージ
戦意高揚	自身に与ダメ20%バフを付与、120T
○ガーディアン	スレイヤースキル１
打	先頭の敵にダメージ
バースト	前列の敵、3体にダメージ
キュア	弱った味方のHPを回復
ヘビィブロウ	先頭の敵にダメージ、スタン 10T
タウント	自身に挑発付与、防御+10 150T
ディバインガード	味方全員の防御+5、100T
○デッドアイ	スレイヤースキル１
射	先頭の敵にダメージ
レッグスナイプ	先頭の敵にダメージ、回避低下 -10 100T
五月雨の矢	全体、低命中、中威力
乱れ射ち	ランダムな敵に５回ダメージ
狙い撃ち	一番弱い敵にダメージ
獲物の印	一番弱い敵にマーク、20%被ダメ増加 100T
○エレメンタリスト	単体、高命中、低威力
火	先頭の敵にダメージ
雷撃	前列の敵、1体にダメージ
氷刃	前列の敵、3体にダメージ
爆炎	ランダムな敵1体にダメージ
雷鳴	敵全体にダメージ
瞑想	自分、力を20%上昇 150T$同じだけシールド獲得
○クレリック	スレイヤースキル１
光	先頭の敵にダメージ
裁きの光	一番弱い敵に２回ダメージ
ヒーリング	弱った味方のHPを回復
リザレクション	弱った味方のHPを大回復
オールヒール	全ての味方のHPを回復
ディスアームズ	先頭の敵にダメージ、与ダメージ減少 10% 100T
○オカルティスト	スレイヤースキル１
闇	先頭の敵に毒を与える
ダークポイズン	敵全体に毒を与える
バインド	敵全体の回避低下
ブラインド	敵全体の命中低下
アーマーダウン	敵全体の防御低下
パワーダウン	敵全体の力低下
○グラディエーター	単体、高命中、低威力、出血弱
裂	先頭の敵にダメージ
流し斬り	前列の敵１体にダメージ ＋ 出血
ラセレート	先頭の敵にダメージ ＋ 出血
ブレードダンス	前列の敵に４回ダメージ
裂空剣	敵全体にダメージ ＋ 出血
マタドール	自分に命中/回避 +10、マーク付与 100T
○アサシン	単体、中命中、低威力　魔法
刃	先頭の敵にダメージ
目潰し	先頭の敵にダメージ、命中低下-10
闇討ち	弱った敵に３回ダメージ ＋ 出血
標的切り	弱い敵にダメージ ＋ マーク付与
隠れ蓑	自身の回避が20増加
煙幕	前列の敵3体の命中低下
○バーサーカー	敵単体、中命中、低威力
断	先頭の敵にダメージ
ドレインブレード	先頭の敵にダメージ ＋ 吸収10%
ブラッドレイジ	前列の敵に３回ダメージ ＋ 出血
グランドスラム	前列の敵3体にダメージ
アサルトスラム	後列の敵1体にダメージ
ベルセルク	自分の与ダメージx1.3 + 被ダメージx1.3
○トリックスター	スレイヤースキル１
蝕	先頭の敵に毒を与える
ポイズンボム	前列の敵3体に毒を与える
毒殺術	弱い敵に毒を与える
チャンスヒール	味方を誰か３回HP回復
クイック	弱った味方の行動値を+30
スターステップ	味方全員の行動値+10
○シャーマン	スレイヤースキル１
滅	先頭の敵にダメージ
炎のルーン	味方全員の力が増加
風のルーン	味方全員の命中が上昇
水のルーン	味方全員の回避が上昇
土のルーン	味方全員の防御が上昇
命のルーン	味方全員が行動毎に回復
○パスファインダー	敵単体、高命中、低威力
刺	先頭の敵にダメージ
毒の薬瓶	ランダムな敵1体に毒を与える
トキシックレイン	敵全体に毒を与える
ファストステップ	先頭の味方の行動値を増加
傷薬	弱った味方のHPを回復
癒しの香	弱った味方に再生を与える
●種族スキル	タンク雑魚攻撃
○ユニコーン	タンク雑魚攻撃
ヒール	味方単体、HP回復
癒しの風	味方全員が行動毎に回復
一角突き	先頭の敵にダメージ、防御無視
○アルラウネ	タンク雑魚攻撃
毒の粉	前列の敵に毒を与える
絡み蔦	敵全体をスタン
パワーウィップ	ランダムな敵１体にダメージ
○ドラゴニュート	タンク雑魚攻撃
ドラゴンパワー	味方全員の力が上昇
ファング	先頭の敵にダメージ
バーストラッシュ	先頭の敵に５回ダメージ
○フェニックス	タンク雑魚攻撃
燃え上がる	自身のHPを回復 ＋ マーク付与
ファイアバースト	敵全体にダメージ
リヴァイヴァ	味方全員のHPを回復
○スライム	タンク雑魚攻撃
自己再生	自分のHPを回復
アシッドボム	ランダムに５回、毒を与える
ポイズンシャワー	敵全体に毒を与える
○ビッグシザー	タンク雑魚攻撃
貫手	先頭の敵にダメージ、防御減少
串刺し	先頭の敵にダメージ、マーク付与
シザーアタック	弱った敵にダメージ
○ハウンテッドアーマー	タンク雑魚攻撃
鋼の守り	自身の防御を上昇
ヘビィストライク	先頭の敵にダメージ、スタン
ダークブラスト	先頭の敵にダメージ + パワー減少
○ゴーレム	タンク雑魚攻撃
バリアー	シールドを得る
レーザー	前列の敵、３体にダメージ
ミサイル乱射	ランダムな敵に５回攻撃
○ウンディーネ	タンク雑魚攻撃
アクアヴェール	味方全員の防御を上昇
ヒールウォータ	ランダムに味方のHPを２回、回復する
New	タンク雑魚攻撃
○コボルド	タンク雑魚攻撃
New	タンク雑魚攻撃
New	タンク雑魚攻撃
New	タンク雑魚攻撃
○ヴァンパイア	タンク雑魚攻撃
New	タンク雑魚攻撃
New	タンク雑魚攻撃
New	タンク雑魚攻撃
○ゴースト	タンク雑魚攻撃
New	タンク雑魚攻撃
New	タンク雑魚攻撃
New	タンク雑魚攻撃
●敵スキル	タンク雑魚攻撃
タックル	タンク雑魚攻撃
固くなる	タンク雑魚バフ
雑魚弱攻撃	雑魚単体
雑魚強攻撃	スレイヤースキル１
戦士単体	スレイヤースキル１
戦士前列範囲	スレイヤースキル１
虫毒攻撃	スレイヤースキル１
虫毒全体	スレイヤースキル１
後衛ランダム	スレイヤースキル１
後衛集中攻撃	スレイヤースキル１
鳥単体魔法	スレイヤースキル１
鳥範囲魔法	スレイヤースキル１
中ボス単体	スレイヤースキル１
中ボス異常付き攻撃	スレイヤースキル１
