なし	パスファインダー
●メイン装備	
大剣1	スレイヤー HP、力
大剣2	スレイヤー
大剣3	スレイヤー
剣盾1	グラディエーター
剣盾2	グラディエーター
剣盾3	グラディエーター
大盾1	ガーディアン、HP 防御
大盾2	
大盾3	
円盤1	みじっそう
円盤2	みじっそう
円盤3	みじっそう
斧1	バーサーカー
斧2	
斧3	
刀1	シノビ
刀2	
刀3	
弓1	デッドアイ
弓2	
弓3	
神杖1	クレリック
神杖2	
神杖3	
錫杖1	みじっそうだよ
錫杖2	
錫杖3	
導杖1	パスファインダー
導杖2	
導杖3	
書物1	エレメンタリスト
書物2	
書物3	
水晶1	みじっそうだよ
水晶2	
水晶3	
●防具	
重鎧1	
重鎧2	
重鎧3	
軽鎧1	
軽鎧2	
軽鎧3	
軽装1	
軽装2	
軽装3	
外套1	
外套2	
外套3	
New	
New	
New	
New	
New	
New	
New	
New	
New	
New	
New	
New	
New	
New	
New	
New	
New	
New	
New	
New	
New	
New	
New	
New	
New	
New	
New	
New	
New	
New	
New	
New	
New	
New	
New	
New	
New	
New	
New	
New	
New	
New	
New	
New	
New	
New	
New	
New	
装備	
