なし	
●共通パッシブ	
HP+	最大HPが増加する
力+	
防御+	
命中+	
回避+	
●職業	
○スレイヤー	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
○ガーディアン	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
○デッドアイ	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
○エレメンタリスト	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
○クレリック	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
○オカルティスト	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
○グラディエーター	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
○アサシン	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
○バーサーカー	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
○トリックスター	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
○シャーマン	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
○パスファインダー	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
New	戦闘開始時、ダメージx20% 100T付与
●種族	戦闘開始時、ダメージx20% 100T付与
○ユニコーン	スキルに物理貫通を付与
鮮血	出血倍率+10%
拡散術	敵が４体以上の時、ダメージ+10%
	
○アルラウネ	状態異常耐性＋
武の舞	マーク状態だと回避＋
