なし,
●基礎パッシブ,
HP+,
筋力+,
知力+,
技力+,
防御+,
精神+,
命中+,
回避+,
会心+,
会心倍率+,筋力が割合増加
筋力X,筋力が割合増加
技力X,
知力X,
●戦闘/攻撃,
先駆け,戦闘開始時、ダメージ増加を自身に付与
防御貫通,スキルに物理貫通を付与
抵抗貫通,スキルに回避貫通を付与
回避貫通,スキルに回避貫通を付与
威迫,ひるみ効果が増加
吸血,スキルにHP吸収が追加
盾の熟練,盾スキルのCT減少
裂傷,出血確率＋
鮮血,出血ダメージ＋
深手,出血持続＋
蝶の舞,回避時CTが減少
火事場力,瀕死だとダメージが増加
先制,戦闘開始時、CT減少
狙い撃ち,挑発状態の敵へのダメージ＋
痛撃,状態異常の敵へのダメージ＋
影の一撃,隠密時スキルダメージ増加
拡散術,敵が４体以上の時、ダメージ＋
凝集術,敵が２体以下の時、ダメージ＋
●戦闘/防御,
回復+,回復スキルの効果＋
抗体,状態異常耐性＋
武の舞,挑発状態だと回避＋
命の盾,回復スキルで超過した分シールド付与
●戦闘/補助,
盾の加護,バフスキルの持続と効果＋
New,
New,
New,
●探索パッシブ,
解体+,剥ぎ取り数が確率で+1
採取+,採取数が確率で+1
解体術,剥ぎ取り素材が確率でランク+1
採取術,採取素材が確率でランク+1
応急手当て,戦闘終了時の全員のHP回復量＋
タフガイ,戦闘終了時の自身HP回復量＋
道しるべ,未発見部屋探索率＋
戦の記録,味方全員の獲得経験値＋
●キーパッシブ,
New,
New,
New,
New,
New,
New,
New,
New,
New,
New,
New,
New,
New,
New,
New,
New,
New,
New,
New,
New,
New,
New,
New,
New,
